id,count
7,1
10,1
11,4
12,3
13,1
15,4
17,2
19,1
21,2
22,4
24,2
25,1
26,5
27,4
28,3
31,1
32,1
33,2
35,3
36,5
37,2
39,2
40,6
47,1
49,2
51,4
52,3
54,1
55,2
57,4
60,4
61,3
63,2
64,2
65,2
71,1
72,1
82,3
90,1
91,1
92,3
101,4
102,1
105,2
107,6
111,2
116,5
123,1
124,1
125,1
135,2
136,4
141,3
142,4
145,1
146,2
148,1
150,3
166,3
168,1
171,4
173,2
174,1
177,2
178,3
181,5
183,3
188,3
189,1
190,3
191,2
192,1
193,3
195,2
199,1
200,4
201,4
202,2
204,1
205,1
208,3
216,1
217,4
219,4
221,5
223,4
224,3
225,1
227,4
229,3
230,1
231,2
234,3
235,4
237,1
238,1
239,3
240,4
241,3
248,1
249,1
253,2
256,3
261,1
262,1
264,4
265,3
270,4
272,3
278,3
279,3
280,2
282,2
283,2
284,1
285,4
289,3
291,2
298,3
300,2
304,1
305,1
307,1
309,1
310,1
313,1
316,1
329,2
332,2
337,3
341,3
343,2
344,2
346,2
348,2
349,2
355,2
356,2
367,1
368,2
372,3
373,1
374,1
376,9
377,5
378,2
379,1
382,1
384,3
385,3
387,9
388,1
389,1
390,2
391,1
392,3
394,4
395,3
396,3
398,4
400,4
402,5
403,2
409,2
410,3
411,3
415,1
416,1
420,4
421,2
432,5
437,2
438,3
441,4
442,4
454,2
456,4
457,4
458,3
461,2
465,3
472,2
473,1
474,1
476,4
477,5
478,1
480,2
481,3
483,3
484,5
485,2
487,1
488,2
489,3
490,1
492,13
493,5
495,4
496,2
497,1
498,1
499,4
500,1
505,1
507,6
508,3
510,2
511,1
512,1
514,1
518,1
519,2
520,1
521,2
526,2
528,1
529,2
530,6
531,1
532,1
533,5
534,3
536,8
537,3
540,4
541,2
542,2
543,6
544,5
545,2
546,1
547,2
548,7
549,4
550,5
551,4
552,5
553,3
554,2
555,4
556,3
557,2
558,3
560,3
561,1
562,1
564,4
565,3
566,2
567,2
568,2
569,2
570,1
572,1
573,1
574,2
575,2
576,4
577,2
578,3
579,2
580,2
581,8
582,3
583,6
584,4
585,1
586,4
587,1
588,3
589,1
590,5
591,2
592,5
593,3
594,5
595,4
596,3
597,1
598,3
599,1
601,1
603,2
604,1
605,2
606,2
607,1
608,1
609,2
611,2
612,1
613,1
614,2
615,2
617,1
618,2
619,1
620,1
621,2
622,4
623,1
624,4
625,1
626,1
627,2
628,3
629,2
630,4
631,2
632,1
633,2
634,2
635,2
636,2
637,3
638,3
639,2
640,2
641,2
642,2
643,1
644,2
646,2
647,1
649,8
650,3
651,2
652,1
653,1
654,2
656,3
661,4
662,2
665,3
668,4
669,3
672,3
673,4
674,4
676,3
677,2
678,1
679,3
680,1
683,3
684,1
685,1
690,2
691,1
697,4
698,5
700,2
703,4
704,4
705,4
706,4
707,4
708,4
709,4
711,1
712,2
714,5
715,1
716,3
717,3
718,3
720,1
721,2
722,2
724,4
725,4
726,2
727,1
728,1
729,1
731,1
732,5
733,3
734,4
736,1
737,2
738,1
739,2
741,4
742,2
743,2
744,2
746,3
747,2
748,1
749,3
750,2
751,3
752,3
753,2
754,2
755,3
756,9
757,1
758,4
760,3
763,1
764,1
765,1
766,1
767,4
768,1
772,2
780,3
781,4
782,2
783,5
784,2
786,1
787,2
788,1
789,4
790,1
792,1
793,1
795,1
796,3
798,1
802,2
803,2
804,2
805,3
806,1
807,2
808,1
809,4
810,3
811,2
812,2
813,3
821,1
824,3
830,4
832,4
833,2
834,3
843,4
844,2
846,3
849,2
851,3
858,1
859,4
860,2
861,2
862,2
863,1
864,4
865,2
866,2
870,1
871,4
872,4
873,3
875,2
878,2
882,1
883,3
884,2
885,1
887,4
888,3
889,2
890,2
891,4
892,2
895,3
896,3
897,4
898,4
899,3
900,3
901,3
902,4
903,4
904,3
905,3
906,3
908,2
909,2
911,1
912,2
914,3
915,4
916,1
917,3
919,2
921,4
922,1
924,4
926,3
927,4
928,2
929,4
930,3
931,2
932,2
933,1
934,2
935,4
936,3
938,2
939,2
940,2
942,1
943,1
946,4
948,4
949,3
950,1
951,3
952,2
957,1
959,1
960,2
961,3
962,4
967,2
968,2
975,2
981,3
986,4
987,4
988,3
989,1
991,3
993,1
997,3
999,2
1000,2
1004,1
1005,2
1006,1
1009,4
1010,2
1011,2
1013,2
1014,2
1015,4
1016,1
1017,1
1023,2
1024,1
1025,1
1026,4
1027,3
1028,1
1032,3
1033,3
1034,1
1035,1
1036,1
1037,1
1039,5
1040,4
1042,4
1043,1
1046,4
1048,4
1049,2
1052,4
1056,1
1059,2
1060,6
1061,4
1063,3
1064,10
1065,1
1066,1
1069,1
1070,4
1071,2
1074,2
1075,1
1076,4
1077,2
1080,4
1081,4
1083,3
1084,3
1085,3
1087,4
1088,2
1089,4
1090,1
1092,4
1093,4
1094,4
1096,2
1097,3
1098,3
1099,2
1100,4
1101,2
1102,2
1103,4
1105,4
1106,5
1107,2
1108,3
1109,1
1111,2
1114,1
1116,1
1117,4
1118,3
1119,4
1120,4
1121,4
1122,4
1123,4
1124,4
1126,1
1127,4
1128,3
1129,4
1130,4
1131,4
1132,4
1133,4
1134,1
1135,4
1136,3
1137,1
1139,1
1140,2
1142,4
1144,2
1145,4
1146,5
1147,1
1148,4
1149,4
1150,1
1152,1
1153,2
1154,1
1156,1
1157,4
1158,1
1159,1
1160,1
1161,4
1162,3
1163,1
1164,1
1165,3
1166,2
1167,2
1168,4
1169,3
1171,1
1172,4
1173,2
1174,3
1175,3
1176,1
1177,3
1179,2
1181,4
1182,2
1184,1
1187,3
1188,2
1189,3
1190,5
1193,1
1194,4
1195,1
1196,1
1198,1
1199,2
1201,4
1202,2
1203,2
1204,3
1205,4
1208,1
1209,4
1210,1
1211,1
1212,2
1213,3
1214,2
1215,2
1217,5
1220,2
1222,4
1223,1
1228,3
1229,4
1230,4
1231,1
1232,1
1237,2
1238,3
1239,10
1240,1
1243,4
1245,4
1246,4
1247,4
1248,2
1249,3
1250,5
1251,3
1252,8
1255,4
1257,2
1258,4
1272,1
1273,1
1274,4
1275,2
1276,1
1277,1
1278,4
1279,2
1280,4
1281,1
1282,2
1283,4
1284,2
1285,2
1286,3
1287,2
1291,4
1292,3
1293,7
1294,4
1295,1
1296,3
1297,4
1298,4
1299,4
1300,1
1305,4
1306,4
1307,3
1308,1
1309,2
1310,2
1311,4
1312,6
1313,1
1315,2
1316,4
1317,3
1318,3
1319,4
1320,2
1321,5
1322,2
1323,1
1324,1
1325,1
1326,5
1327,4
1328,2
1329,2
1330,2
1331,3
1333,1
1335,2
1336,4
1337,4
1339,5
1340,3
1341,1
1342,5
1343,2
1344,1
1345,3
1348,3
1349,2
1350,3
1352,2
1353,5
1355,2
1359,4
1361,3
1362,2
1364,5
1367,2
1375,3
1382,2
1384,2
1385,4
1387,2
1388,2
1392,2
1393,3
1394,1
1397,1
1400,1
1402,3
