id,age
1,55
2,58
3,46
4,49
5,55
6,47
7,50
8,40
9,49
10,36
11,46
12,44
13,46
14,33
15,53
16,33
17,41
18,44
19,53
20,42
21,49
22,51
23,50
24,49
25,50
26,46
27,55
28,43
29,52
30,42
31,37
32,40
33,39
34,41
35,43
36,48
37,43
38,32
39,28
40,51
41,33
42,49
43,61
44,56
45,59
46,64
47,41
48,33
49,40
50,41
51,51
52,44
53,58
54,40
55,42
56,41
57,48
58,58
59,32
60,36
61,41
62,34
63,35
64,35
65,45
66,40
67,55
68,41
69,32
70,37
71,36
72,44
73,35
74,37
75,39
76,58
77,46
78,52
79,33
80,29
81,32
82,63
83,32
84,38
85,38
86,29
87,31
88,37
89,38
90,40
91,40
92,49
93,33
94,39
95,27
96,32
97,36
98,41
99,36
100,35
101,44
102,61
103,54
104,48
105,41
106,51
107,54
108,39
109,31
110,31
111,43
112,31
113,34
114,26
115,31
116,57
117,40
118,31
119,25
120,32
121,33
122,47
123,46
124,48
125,45
126,59
127,38
128,32
129,32
130,31
131,32
132,31
133,37
134,31
135,41
136,47
137,36
138,30
139,34
140,47
141,38
142,57
143,32
144,36
145,41
146,40
147,28
148,36
149,37
150,35
151,36
152,32
153,37
154,35
155,35
156,38
157,31
158,31
159,28
160,33
161,38
162,35
163,39
164,31
165,38
166,48
167,47
168,35
169,20
170,30
171,60
172,52
173,35
174,33
175,42
176,33
177,44
178,50
179,23
180,32
181,54
182,21
183,40
184,51
185,39
186,40
187,56
188,40
189,36
190,48
191,51
192,38
193,38
194,40
195,35
196,40
197,22
198,27
199,27
200,61
201,46
202,46
203,25
204,34
205,39
206,57
207,28
208,42
209,27
210,32
211,62
212,41
213,28
214,31
215,33
216,30
217,39
218,28
219,55
220,46
221,50
222,33
223,41
224,32
225,41
226,33
227,41
228,33
229,41
230,39
231,37
232,26
233,36
234,43
235,43
236,58
237,37
238,34
239,41
240,51
241,44
242,34
243,31
244,28
245,29
246,37
247,29
248,32
249,37
250,29
251,26
252,26
253,40
254,29
255,27
256,33
257,30
258,34
259,31
260,31
261,54
262,48
263,58
264,47
265,54
266,64
267,45
268,51
269,26
270,39
271,65
272,43
273,42
274,47
275,61
276,58
277,57
278,47
279,52
280,32
281,30
282,69
283,36
284,48
285,61
286,28
287,26
288,31
289,44
290,30
291,29
292,58
293,53
294,47
295,26
296,23
297,37
298,36
299,37
300,41
301,34
302,35
303,37
304,32
305,37
306,28
307,34
308,29
309,36
310,33
311,31
312,29
313,36
314,29
315,27
316,37
317,29
318,30
319,37
320,27
321,26
322,31
323,36
324,37
325,35
326,23
327,59
328,23
329,38
330,47
331,58
332,31
333,34
334,34
335,30
336,28
337,52
338,34
339,53
340,63
341,49
342,34
343,41
344,39
345,24
346,41
347,35
348,37
349,31
350,35
351,25
352,22
353,19
354,60
355,33
356,33
357,32
358,31
359,23
360,20
361,24
362,25
363,30
364,45
365,37
366,29
367,50
368,55
369,39
370,38
371,26
372,35
373,51
374,40
375,50
376,52
377,63
378,34
379,29
380,35
381,35
382,35
383,30
384,54
385,37
386,55
387,60
388,43
389,59
390,29
391,36
392,36
393,36
394,39
395,39
396,68
397,32
398,62
399,41
400,43
401,34
402,40
403,41
404,28
405,32
406,29
407,19
408,66
409,28
410,39
411,47
412,49
413,58
414,59
415,35
416,40
417,30
418,48
419,56
420,50
421,57
422,51
423,32
424,51
425,53
426,25
427,55
428,51
429,46
430,51
431,46
432,52
433,34
434,31
435,37
436,64
437,45
438,43
439,43
440,51
441,49
442,35
443,33
444,26
445,30
446,32
447,32
448,34
449,32
450,27
451,27
452,31
453,35
454,34
455,35
456,32
457,53
458,39
459,31
460,31
461,29
462,51
463,54
464,33
465,39
466,35
467,35
468,31
469,32
470,30
471,21
472,26
473,32
474,33
475,22
476,53
477,41
478,29
479,23
480,38
481,55
482,41
483,44
484,43
485,35
486,34
487,35
488,38
489,37
490,32
491,19
492,57
493,37
494,41
495,43
496,38
497,35
498,35
499,34
500,29
501,37
502,38
503,29
504,22
505,30
506,31
507,44
508,38
509,33
510,36
511,40
512,27
513,27
514,34
515,37
516,36
517,28
518,33
519,38
520,32
521,34
522,29
523,27
524,28
525,28
526,33
527,34
528,36
529,35
530,40
531,34
532,34
533,35
534,31
535,31
536,55
537,54
538,31
539,62
540,48
541,58
542,36
543,51
544,39
545,33
546,29
547,29
548,38
549,47
550,39
551,40
552,51
553,32
554,33
555,34
556,29
557,33
558,39
559,32
560,44
561,33
562,39
563,57
564,34
565,32
566,30
567,40
568,37
569,32
570,34
571,31
572,36
573,34
574,36
575,29
576,36
577,37
578,36
579,36
580,34
581,44
582,42
583,45
584,35
585,37
586,37
587,28
588,32
589,28
590,56
591,56
592,46
593,46
594,44
595,39
596,38
597,37
598,41
599,37
600,29
601,34
602,29
603,36
604,31
605,36
606,45
607,50
608,43
609,46
610,35
611,47
612,42
613,33
614,38
615,47
616,35
617,37
618,38
619,46
620,43
621,35
622,55
623,42
624,39
625,31
626,34
627,55
628,49
629,36
630,51
631,31
632,44
633,32
634,32
635,31
636,30
637,28
638,57
639,47
640,48
641,44
642,27
643,29
644,33
645,40
646,53
647,29
648,32
649,38
650,29
651,39
652,42
653,36
654,32
655,27
656,33
657,22
658,31
659,27
660,30
661,49
662,33
663,52
664,44
665,39
666,33
667,30
668,41
669,38
670,39
671,31
672,39
673,52
674,38
675,38
676,32
677,34
678,33
679,41
680,37
681,34
682,28
683,34
684,30
685,26
686,25
687,30
688,22
689,21
690,39
691,41
692,53
693,43
694,40
695,51
696,53
697,48
698,34
699,35
700,30
701,20
702,29
703,40
704,57
705,35
706,46
707,35
708,35
709,35
710,32
711,37
712,28
713,52
714,42
715,23
716,32
717,37
718,38
719,22
720,37
721,34
722,34
723,30
724,42
725,40
726,62
727,34
728,51
729,54
730,34
731,28
732,46
733,41
734,40
735,34
736,22
737,34
738,30
739,36
740,24
741,44
742,36
743,28
744,29
745,33
746,33
747,37
748,38
749,60
750,38
751,46
752,46
753,38
754,29
755,32
756,56
757,35
758,34
759,25
760,40
761,32
762,32
763,27
764,32
765,29
766,31
767,30
768,33
769,31
770,24
771,26
772,32
773,28
774,29
775,26
776,26
777,30
778,29
779,33
780,30
781,61
782,43
783,62
784,32
785,32
786,38
787,38
788,34
789,43
790,26
791,34
792,53
793,30
794,21
795,41
796,36
797,39
798,38
799,33
800,32
801,28
802,36
803,38
804,30
805,42
806,36
807,36
808,35
809,39
810,38
811,37
812,31
813,34
814,28
815,31
816,33
817,28
818,30
819,27
820,24
821,32
822,30
823,28
824,29
825,52
826,35
827,29
828,38
829,24
830,35
831,33
832,36
833,35
834,34
835,30
836,30
837,29
838,33
839,27
840,24
841,31
842,25
843,55
844,31
845,34
846,32
847,25
848,29
849,30
850,24
851,35
852,20
853,34
854,34
855,56
856,55
857,40
858,28
859,37
860,37
861,35
862,34
863,51
864,34
865,33
866,27
867,29
868,19
869,29
870,31
871,43
872,48
873,34
874,27
875,39
876,29
877,30
878,51
879,28
880,28
881,21
882,36
883,39
884,36
885,32
886,24
887,44
888,39
889,31
890,43
891,35
892,32
893,25
894,29
895,58
896,52
897,38
898,30
899,36
900,35
901,44
902,34
903,31
904,35
905,45
906,58
907,33
908,26
909,28
910,27
911,31
912,30
913,25
914,49
915,34
916,27
917,25
918,26
919,24
920,21
921,55
922,35
923,33
924,55
925,26
926,23
927,42
928,57
929,56
930,41
931,40
932,34
933,28
934,36
935,34
936,30
937,34
938,34
939,34
940,40
941,33
942,23
943,51
944,24
945,30
946,32
947,25
948,43
949,38
950,35
