id,club_count,club
1,2,1
4,2,1
5,1,1
6,1,1
7,1,1
8,2,1
9,2,1
10,1,1
11,1,1
12,1,1
13,2,1
15,2,1
20,1,1
21,2,1
22,1,1
24,1,1
25,1,1
26,2,1
29,1,1
31,1,1
33,2,1
35,1,1
36,2,1
40,1,1
51,1,1
54,1,1
58,1,1
61,1,1
63,1,1
64,2,1
65,1,1
68,3,1
69,1,1
75,1,1
77,2,1
79,1,1
82,1,1
84,1,1
85,1,1
90,2,1
92,1,1
99,1,1
100,2,1
101,2,1
105,1,1
108,1,1
118,1,1
123,1,1
124,2,1
125,1,1
126,2,1
133,2,1
135,1,1
136,2,1
137,1,1
141,2,1
142,1,1
144,1,1
145,1,1
149,1,1
150,1,1
151,1,1
158,2,1
161,1,1
162,1,1
166,1,1
171,1,1
173,1,1
174,1,1
177,1,1
179,1,1
181,3,1
183,1,1
184,1,1
187,1,1
188,5,1
191,1,1
192,2,1
193,1,1
195,1,1
199,1,1
204,2,1
205,1,1
215,1,1
221,1,1
225,1,1
226,2,1
227,1,1
228,1,1
229,1,1
230,2,1
231,1,1
235,3,1
238,1,1
239,2,1
242,1,1
248,1,1
256,2,1
257,1,1
262,3,1
272,1,1
291,1,1
296,1,1
298,1,1
300,1,1
307,1,1
309,1,1
310,1,1
319,1,1
322,1,1
323,2,1
324,1,1
328,1,1
332,1,1
336,1,1
342,1,1
351,1,1
352,1,1
355,2,1
359,1,1
367,2,1
368,1,1
373,1,1
376,1,1
379,4,1
382,2,1
384,1,1
385,1,1
388,1,1
390,1,1
400,1,1
401,2,1
406,2,1
426,1,1
432,1,1
438,1,1
452,2,1
457,1,1
471,1,1
475,1,1
476,2,1
478,1,1
481,2,1
483,1,1
491,1,1
493,2,1
495,1,1
499,1,1
501,1,1
503,1,1
504,1,1
505,1,1
512,2,1
514,1,1
519,1,1
521,1,1
525,2,1
528,1,1
533,1,1
534,1,1
535,1,1
537,1,1
545,1,1
546,2,1
551,1,1
552,1,1
555,1,1
557,1,1
558,1,1
561,1,1
564,2,1
565,1,1
566,1,1
569,1,1
571,1,1
580,1,1
602,1,1
603,1,1
605,1,1
615,1,1
617,1,1
625,1,1
647,1,1
650,1,1
652,1,1
657,1,1
660,1,1
678,1,1
679,1,1
681,1,1
682,1,1
685,1,1
686,1,1
688,1,1
689,2,1
690,1,1
697,1,1
702,1,1
712,1,1
715,1,1
719,1,1
735,2,1
738,1,1
743,1,1
754,1,1
1357,1,1
1364,1,1
