id,department,main_dep
1,Executives,0
2,Production_support,0
3,Production_support,0
4,Purchasing,0
5,Production_support,0
6,Production_Management,1
7,Business_Support,0
8,Production_support,0
9,Executives,0
10,Production_Management,1
11,Business_Support,0
12,Quality_Management,1
13,Business_Support,0
14,Warranty,0
15,Production_Management,1
16,Purchasing,0
17,Quality_Management,1
18,Shipping,0
19,Purchasing,0
20,Production_Management,1
21,Service,0
22,Production_support,0
23,Shipping,0
24,Production_support,0
25,Quality_Management,1
26,Production_support,0
27,Production_support,0
28,Quality_Management,1
29,Design,1
30,Production_Management,1
31,Financial_management,0
32,Production_Management,1
33,Financial_management,0
34,Production_Management,1
35,Production_Management,1
36,Sales,1
37,Sales,1
38,Sales,1
39,Financial_management,0
40,Purchasing,0
41,Sales,1
42,Executives,0
43,Executives,0
44,Executives,0
45,Executives,0
46,Executives,0
47,Sales,1
48,Technology,1
49,Design,1
50,Financial_management,0
51,Executives,0
52,Design,1
53,Executives,0
54,Business_Support,0
55,Sales,1
56,Production_Management,1
57,Production_support,0
58,Warranty,0
59,Sales,1
60,Business_Support,0
61,Purchasing,0
62,Business_management,1
63,Production_support,0
64,Production_support,0
65,Purchasing,0
66,Quality_Management,1
67,Production_support,0
68,Purchasing,0
69,Sales,1
70,Sales,1
71,Design,1
72,Sales,1
73,Production_Management,1
74,Production_Management,1
75,Quality_Management,1
76,Executives,0
77,Executives,0
78,Executives,0
79,Purchasing,0
80,Design,1
81,Sales,1
82,Executives,0
83,Warranty,0
84,Purchasing,0
85,Design,1
86,Design,1
87,Production_Management,1
88,Production_Management,1
89,Production_Management,1
90,Business_management,1
91,Warranty,0
92,Executives,0
93,Design,1
94,Production_Management,1
95,Design,1
96,Warranty,0
97,Research,0
98,Business_management,1
99,Design,1
100,Production_Management,1
101,Production_Management,1
102,Production_support,0
103,Executives,0
104,Executives,0
105,Production_support,0
106,Executives,0
107,Executives,0
108,Production_Management,1
109,Shipping,0
110,Technology,1
111,Business_Support,0
112,Design,1
113,Sales,1
114,Sales,1
115,Warranty,0
116,Production_Management,1
118,Sales,1
119,Sales,1
120,Design,1
121,Warranty,0
122,Executives,0
123,Production_support,0
124,Production_Management,1
125,Financial_management,0
126,Production_support,0
127,Design,1
128,Technology,1
129,Design,1
130,Sales,1
131,Sales,1
132,Business_management,1
133,Warranty,0
134,Warranty,0
135,Production_support,0
136,Production_Management,1
137,Design,1
138,Sales,1
139,Sales,1
140,Design,1
141,Production_Management,1
142,Business_management,1
143,Production_Management,1
144,Purchasing,0
145,Purchasing,0
146,Design,1
147,Business_management,1
148,Business_Support,0
149,Production_Management,1
150,Production_Management,1
151,Business_management,1
152,Warranty,0
153,Quality_Management,1
154,Financial_management,0
155,Business_management,1
156,Business_management,1
158,Production_Management,1
159,Sales,1
160,Business_management,1
161,Quality_Management,1
162,Quality_Management,1
163,Quality_Management,1
164,Warranty,0
165,Business_Support,0
166,Quality_Management,1
167,Warranty,0
168,Design,1
169,Research,0
170,Warranty,0
171,Executives,0
172,Production_Management,1
173,Production_support,0
174,Quality_Management,1
175,Sales,1
176,Production_support,0
177,Business_management,1
179,Business_Support,0
180,Production_Management,1
181,Production_Management,1
182,Shipping,0
183,Design,1
184,Executives,0
185,Quality_Management,1
186,Sales,1
187,Production_support,0
188,Business_Support,0
189,Quality_Management,1
190,Purchasing,0
191,Purchasing,0
192,Business_Support,0
193,Production_Management,1
194,Production_support,0
195,Technology,1
196,Sales,1
197,Production_Management,1
198,Research,0
199,Production_Management,1
200,Production_Management,1
201,Quality_Management,1
202,Production_Management,1
203,Design,1
204,Sales,1
205,Production_Management,1
206,Design,1
208,Production_Management,1
209,Warranty,0
211,Executives,0
212,Business_management,1
213,Production_support,0
214,Warranty,0
215,Warranty,0
216,Production_support,0
217,Production_support,0
218,Production_support,0
219,Production_support,0
220,Design,1
221,Quality_Management,1
222,Business_management,1
223,Production_support,0
224,Production_Management,1
225,Production_Management,1
226,Quality_Management,1
227,Quality_Management,1
228,Quality_Management,1
229,Quality_Management,1
230,Business_Support,0
231,Research,0
232,Production_Management,1
233,Financial_management,0
234,Production_Management,1
235,Purchasing,0
236,Production_support,0
237,Production_support,0
238,Purchasing,0
239,Production_support,0
240,Business_management,1
241,Purchasing,0
242,Quality_Management,1
243,Design,1
244,Business_management,1
245,Technology,1
246,Quality_Management,1
247,Warranty,0
248,Production_Management,1
249,Purchasing,0
250,Production_support,0
251,Sales,1
253,Quality_Management,1
254,Sales,1
255,Design,1
256,Warranty,0
257,Business_management,1
258,Technology,1
259,Warranty,0
260,Production_Management,1
261,Production_support,0
262,Production_support,0
263,Technology,1
264,Design,1
265,Purchasing,0
266,Executives,0
267,Executives,0
268,Executives,0
269,Business_Support,0
270,Research,0
271,Executives,0
272,Quality_Management,1
273,Business_Support,0
274,Production_Management,1
275,Executives,0
276,Executives,0
277,Executives,0
278,Business_Support,0
279,Design,1
280,Production_support,0
281,Production_support,0
282,Production_Management,1
283,Sales,1
284,Technology,1
285,Executives,0
286,Sales,1
287,Business_management,1
288,Technology,1
289,Technology,1
290,Technology,1
291,Design,1
292,Executives,0
293,Technology,1
294,Technology,1
295,Production_support,0
296,Production_support,0
297,Business_management,1
298,Design,1
299,Sales,1
300,Business_management,1
301,Warranty,0
302,Design,1
303,Design,1
304,Production_Management,1
305,Sales,1
306,Sales,1
307,Design,1
308,Warranty,0
309,Business_management,1
310,Quality_Management,1
311,Design,1
312,Sales,1
313,Business_Support,0
314,Sales,1
315,Technology,1
316,Quality_Management,1
317,Business_management,1
318,Technology,1
319,Production_Management,1
320,Business_Support,0
321,Production_Management,1
322,Quality_Management,1
323,Quality_Management,1
324,Production_Management,1
325,Design,1
326,Design,1
327,Sales,1
328,Business_Support,0
329,Business_management,1
330,Business_management,1
331,Shipping,0
332,Business_management,1
333,Warranty,0
334,Sales,1
335,Business_management,1
336,Production_Management,1
337,Production_Management,1
338,Shipping,0
339,Executives,0
340,Business_management,1
341,Executives,0
342,Production_Management,1
343,Production_Management,1
344,Design,1
345,Production_Management,1
346,Purchasing,0
347,Production_Management,1
348,Purchasing,0
349,Quality_Management,1
350,Production_Management,1
351,Production_Management,1
352,Quality_Management,1
353,Warranty,0
354,Shipping,0
355,Quality_Management,1
356,Production_Management,1
357,Design,1
358,Sales,1
359,Production_support,0
360,Production_support,0
361,Warranty,0
362,Sales,1
363,Production_support,0
364,Warranty,0
365,Production_support,0
366,Business_management,1
367,Executives,0
368,Executives,0
369,Business_Support,0
370,Production_support,0
371,Production_support,0
372,Technology,1
373,Executives,0
374,Design,1
375,Business_management,1
376,Sales,1
377,Executives,0
378,Quality_Management,1
379,Quality_Management,1
380,Business_management,1
381,Business_management,1
382,Quality_Management,1
383,Design,1
384,Research,0
385,Business_Support,0
386,Executives,0
387,Executives,0
388,Business_management,1
389,Executives,0
390,Design,1
391,Production_support,0
392,Sales,1
393,Sales,1
394,Design,1
395,Business_management,1
396,Research,0
397,Warranty,0
398,Executives,0
399,Production_Management,1
400,Business_Support,0
401,Business_Support,0
402,Production_support,0
403,Production_support,0
404,Design,1
405,Production_Management,1
406,Design,1
407,Purchasing,0
408,Business_management,1
409,Production_support,0
410,Business_Support,0
411,Business_management,1
412,Executives,0
413,Executives,0
414,Executives,0
415,Production_Management,1
416,Quality_Management,1
417,Production_Management,1
418,Business_management,1
419,Business_management,1
420,Production_support,0
421,Business_Support,0
422,Production_support,0
423,Production_support,0
424,Production_support,0
425,Business_management,1
426,Production_support,0
427,Executives,0
428,Business_management,1
429,Business_management,1
430,Business_management,1
431,Business_management,1
432,Executives,0
433,Business_management,1
434,Financial_management,0
435,Business_management,1
436,Executives,0
437,Production_support,0
438,Production_support,0
439,Business_management,1
440,Business_management,1
441,Production_Management,1
442,Production_support,0
443,Production_support,0
444,Shipping,0
445,Shipping,0
446,Business_management,1
447,Production_Management,1
448,Technology,1
449,Design,1
450,Sales,1
451,Production_Management,1
452,Quality_Management,1
453,Design,1
454,Sales,1
455,Production_Management,1
456,Design,1
457,Executives,0
458,Business_management,1
459,Production_Management,1
460,Shipping,0
461,Production_support,0
462,Business_management,1
463,Business_management,1
464,Shipping,0
465,Production_Management,1
466,Sales,1
467,Sales,1
468,Warranty,0
469,Design,1
470,Design,1
471,Production_support,0
472,Purchasing,0
473,Business_management,1
474,Production_support,0
475,Production_support,0
476,Executives,0
477,Sales,1
478,Sales,1
479,Design,1
480,Production_support,0
481,Executives,0
482,Business_management,1
483,Production_Management,1
484,Production_Management,1
485,Business_Support,0
486,Production_Management,1
487,Business_management,1
488,Design,1
489,Quality_Management,1
490,Quality_Management,1
491,Production_Management,1
492,Production_Management,1
493,Quality_Management,1
494,Business_Support,0
495,Design,1
496,Business_management,1
497,Business_management,1
498,Business_Support,0
499,Business_Support,0
500,Business_Support,0
501,Sales,1
502,Production_Management,1
503,Design,1
504,Design,1
505,Production_Management,1
506,Technology,1
508,Financial_management,0
509,Quality_Management,1
510,Design,1
511,Sales,1
512,Sales,1
513,Sales,1
514,Business_management,1
515,Business_management,1
516,Production_Management,1
517,Production_Management,1
518,Quality_Management,1
519,Purchasing,0
520,Business_management,1
521,Quality_Management,1
522,Production_support,0
523,Business_management,1
524,Design,1
525,Business_Support,0
526,Sales,1
527,Sales,1
528,Design,1
529,Production_Management,1
530,Business_Support,0
531,Business_management,1
532,Design,1
533,Business_management,1
534,Business_management,1
535,Production_support,0
536,Production_Management,1
537,Executives,0
538,Business_management,1
539,Production_support,0
540,Production_Management,1
541,Warranty,0
542,Production_Management,1
543,Production_support,0
544,Production_Management,1
545,Purchasing,0
546,Design,1
547,Business_management,1
548,Business_management,1
549,Production_Management,1
550,Business_management,1
551,Business_management,1
552,Financial_management,0
553,Financial_management,0
554,Business_Support,0
555,Quality_Management,1
556,Business_management,1
557,Sales,1
558,Sales,1
559,Production_support,0
560,Business_management,1
561,Design,1
562,Quality_Management,1
563,Production_support,0
564,Design,1
565,Sales,1
566,Sales,1
567,Business_management,1
568,Sales,1
569,Quality_Management,1
570,Design,1
571,Business_Support,0
572,Design,1
573,Sales,1
574,Quality_Management,1
575,Quality_Management,1
576,Quality_Management,1
577,Quality_Management,1
578,Production_support,0
579,Quality_Management,1
580,Quality_Management,1
581,Production_Management,1
582,Production_Management,1
583,Business_Support,0
584,Production_support,0
585,Production_Management,1
586,Production_Management,1
587,Production_Management,1
588,Production_Management,1
589,Production_Management,1
590,Executives,0
591,Quality_Management,1
592,Production_Management,1
593,Production_Management,1
594,Business_Support,0
595,Business_Support,0
596,Sales,1
597,Business_Support,0
598,Production_Management,1
599,Technology,1
600,Sales,1
601,Production_support,0
602,Design,1
603,Business_management,1
604,Design,1
605,Business_Support,0
606,Production_Management,1
607,Business_Support,0
608,Production_Management,1
609,Production_Management,1
610,Production_support,0
611,Production_Management,1
612,Business_Support,0
613,Production_support,0
614,Production_Management,1
615,Sales,1
616,Design,1
617,Production_Management,1
618,Business_management,1
619,Production_Management,1
620,Production_Management,1
621,Production_support,0
622,Business_management,1
623,Production_support,0
624,Production_Management,1
625,Technology,1
626,Business_management,1
627,Executives,0
628,Sales,1
629,Sales,1
631,Design,1
632,Production_Management,1
633,Production_support,0
634,Production_support,0
635,Production_support,0
636,Production_support,0
637,Production_support,0
638,Production_Management,1
639,Production_Management,1
640,Production_support,0
641,Purchasing,0
642,Purchasing,0
643,Production_support,0
644,Production_support,0
645,Production_support,0
646,Production_Management,1
647,Production_Management,1
648,Production_support,0
649,Production_Management,1
650,Design,1
652,Production_Management,1
653,Production_Management,1
654,Purchasing,0
655,Production_Management,1
656,Business_management,1
657,Production_support,0
658,Sales,1
659,Production_support,0
660,Business_Support,0
661,Quality_Management,1
662,Quality_Management,1
663,Production_support,0
664,Production_support,0
665,Production_support,0
666,Production_support,0
667,Sales,1
668,Production_support,0
669,Production_Management,1
670,Production_support,0
671,Production_support,0
672,Production_support,0
673,Production_support,0
674,Production_support,0
675,Production_support,0
676,Production_support,0
677,Quality_Management,1
678,Purchasing,0
679,Sales,1
680,Business_management,1
681,Design,1
682,Design,1
683,Sales,1
684,Production_support,0
685,Purchasing,0
686,Design,1
687,Business_Support,0
688,Production_Management,1
689,Quality_Management,1
690,Purchasing,0
691,Production_Management,1
692,Production_support,0
693,Production_support,0
694,Production_support,0
695,Production_support,0
696,Production_support,0
697,Design,1
698,Production_Management,1
699,Production_support,0
700,Business_Support,0
701,Sales,1
702,Business_Support,0
703,Production_support,0
704,Production_support,0
705,Production_support,0
706,Production_support,0
707,Production_support,0
708,Production_support,0
709,Production_support,0
710,Production_support,0
711,Business_management,1
712,Design,1
713,Production_support,0
714,Design,1
715,Business_Support,0
716,Quality_Management,1
717,Design,1
718,Technology,1
719,Business_management,1
720,Production_support,0
721,Production_Management,1
722,Production_support,0
723,Production_support,0
724,Production_Management,1
725,Business_Support,0
726,Executives,0
727,Design,1
728,Production_support,0
729,Production_Management,1
730,Production_support,0
731,Production_support,0
732,Sales,1
733,Design,1
734,Business_Support,0
735,Quality_Management,1
737,Design,1
738,Quality_Management,1
739,Quality_Management,1
740,Design,1
741,Production_support,0
742,Business_management,1
743,Production_Management,1
744,Design,1
745,Production_Management,1
746,Production_support,0
747,Quality_Management,1
748,Design,1
749,Executives,0
750,Purchasing,0
751,Production_Management,1
752,Business_Support,0
753,Design,1
755,Design,1
756,Business_management,1
757,Design,1
758,Design,1
759,Design,1
760,Purchasing,0
761,Financial_management,0
762,Business_Support,0
