id,position,position_number
1,전무,
2,직장,2
3,직장,2
4,부장,1
5,반장,3
6,부장,1
7,부장,1
8,반장,3
9,상무,
10,대리,4
11,부장,1
12,부장,1
13,부장,1
14,대리,4
15,이사,
16,대리,4
17,차장,2
18,반장,3
19,직장,2
20,부장,1
21,부장,1
22,직장,2
23,직장,2
24,반장,3
25,부장,1
26,부장,1
27,직장,2
28,차장,2
29,이사,
30,차장,2
31,과장,3
32,차장,2
33,과장,3
34,과장,3
35,대리,4
36,이사,
37,부장,1
38,대리,4
39,사원,6
40,이사,
41,대리,4
42,사장/대표이사,
43,사장,
44,부사장,
45,부사장,
46,감사,
47,차장,2
48,대리,4
49,차장,2
50,과장,3
51,상무,
52,부장,1
53,전무,
54,과장,3
55,부장,1
56,부장,1
57,이사,
58,상무,
59,사원,6
60,과장,3
61,차장,2
62,대리,4
63,대리,4
64,조장,4
65,부장,1
66,과장,3
67,부장,1
68,과장,3
69,대리,4
70,과장,3
71,대리,4
72,차장,2
73,대리,4
74,대리,4
75,과장,3
76,상무,
77,상무,
78,이사,
79,과장,3
80,사원,6
81,대리,4
82,전무,
83,사원,6
84,과장,3
85,과장,3
86,대리,4
87,사원,6
88,대리,4
89,과장,3
90,과장,3
91,과장,3
92,상무,
93,대리,4
94,과장,3
95,사원,6
96,사원,6
97,대리,4
98,대리,4
99,과장,3
100,대리,4
101,부장,1
102,반장,3
103,상무,
104,이사,
105,대리,4
106,이사,
107,상무,
108,차장,2
109,사원,6
110,대리,4
111,차장,2
112,사원,6
113,대리,4
114,사원,6
115,대리,4
116,부장,1
117,차장,2
118,대리,4
119,사원,6
120,사원,6
121,대리,4
122,이사,
123,부장,1
124,반장,3
125,부장,1
126,직장,2
127,과장,3
128,대리,4
129,사원,6
130,사원,6
131,사원,6
132,사원,6
133,대리,4
134,사원,6
135,조장,4
136,부장,1
137,대리,4
138,사원,6
139,대리,4
140,부장,1
141,과장,3
142,이사,
143,대리,4
144,대리,4
145,과장,3
146,과장,3
147,사원,6
148,대리,4
149,과장,3
150,대리,4
151,과장,3
152,사원,6
153,과장,3
154,대리,4
155,과장,3
156,과장,3
157,사원,6
158,대리,4
159,사원,6
160,사원,6
161,과장,3
162,대리,4
163,과장,3
164,사원,6
165,과장,3
166,부장,1
167,부장,1
168,대리,4
169,사원,6
170,사원,6
171,전무,
172,부장,1
173,대리,4
174,과장,3
175,차장,2
176,대리,4
177,차장,2
178,차장,2
179,사원,6
180,대리,4
181,부장,1
182,사원,6
183,과장,3
184,상무,
185,대리,4
186,차장,2
187,과장,3
188,과장,3
189,대리,4
190,과장,3
191,차장,2
192,과장,3
193,과장,3
194,대리,4
195,대리,4
196,차장,2
197,사원,6
198,사원,6
199,사원,6
200,직장,2
201,부장,1
202,반장,3
203,사원,6
204,대리,4
205,과장,3
206,부장,1
207,사원,6
208,차장,2
209,사원,6
210,사원,6
211,상무,
212,차장,2
213,사원(시급),6
214,사원,6
215,사원,6
216,대리,4
217,과장,3
218,사원(시급),6
219,직장,2
220,부장,1
221,부장,1
222,대리,4
