id,exist_nonexist,religion
1,No,No
2,No,No
3,No,No
4,Yes,Christian
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,Yes,Buddism
11,No,No
12,No,No
13,Yes,Christian
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,Yes,Buddism
22,No,No
23,No,No
24,No,No
25,No,No
26,No,No
27,No,No
28,No,No
29,No,No
30,No,No
31,No,No
32,No,No
33,No,No
34,No,No
35,No,No
36,No,No
37,No,No
38,No,No
39,No,No
40,No,No
41,No,No
42,No,No
43,No,No
44,No,No
45,No,No
46,No,No
47,No,No
48,No,No
49,Yes,Christian
50,No,No
51,No,No
52,Yes,Christian
53,No,No
54,Yes,Buddism
55,No,No
56,No,No
57,No,No
58,No,No
59,No,No
60,No,No
61,No,No
62,No,No
63,No,No
64,No,No
65,No,No
66,No,No
67,No,No
68,Yes,Christian
69,No,No
70,No,No
71,No,No
72,No,No
73,No,No
74,No,No
75,No,No
76,No,No
77,No,No
78,No,No
79,No,No
80,No,No
81,No,No
82,Yes,Buddism
83,No,No
84,Yes,Buddism
85,No,No
86,Yes,Buddism
87,No,No
88,Yes,Buddism
89,No,No
90,No,No
91,Yes,Buddism
92,No,No
93,No,No
94,Yes,Buddism
95,No,No
96,No,No
97,No,No
98,No,No
99,No,No
100,No,No
101,Yes,Buddism
102,No,No
103,No,No
104,No,No
105,Yes,Buddism
106,No,No
107,No,No
108,No,No
109,No,No
110,No,No
111,Yes,Buddism
112,No,No
113,No,No
114,No,No
115,No,No
116,Yes,Buddism
117,No,No
118,Yes,Buddism
119,No,No
120,No,No
121,No,No
122,No,No
123,No,No
124,No,No
125,No,No
126,No,No
127,No,No
128,No,No
129,No,No
130,No,No
131,No,No
132,No,No
133,No,No
134,No,No
135,No,No
136,Yes,Buddism
137,Yes,Catholic
138,No,No
139,No,No
140,No,No
141,No,No
142,Yes,Catholic
143,No,No
144,No,No
145,No,No
146,No,No
147,No,No
148,Yes,Buddism
149,No,No
150,No,No
151,No,No
152,No,No
153,No,No
154,No,No
155,Yes,Buddism
156,No,No
157,No,No
158,No,No
159,No,No
160,No,No
161,Yes,Buddism
162,No,No
163,Yes,Buddism
164,No,No
165,Yes,Buddism
166,No,No
167,No,No
168,No,No
169,No,No
170,No,No
171,No,No
172,No,No
173,Yes,Buddism
174,No,No
175,No,No
176,No,No
177,No,No
178,No,No
179,No,No
180,No,No
181,No,No
182,No,No
183,No,No
184,No,No
185,No,No
186,No,No
187,No,No
188,No,No
189,No,No
190,No,No
191,No,No
192,No,No
193,No,No
194,No,No
195,No,No
196,No,No
197,No,No
198,No,No
199,No,No
200,No,No
201,No,No
202,No,No
203,No,No
204,No,No
205,No,No
206,No,No
207,No,No
208,No,No
209,No,No
210,No,No
211,No,No
212,No,No
213,No,No
214,No,No
215,No,No
216,Yes,Buddism
217,No,No
218,No,No
219,No,No
220,No,No
221,No,No
222,No,No
223,No,No
224,No,No
225,No,No
226,No,No
227,No,No
228,No,No
229,No,No
230,No,No
231,Yes,Buddism
232,No,No
233,No,No
234,No,No
235,No,No
236,No,No
237,No,No
238,No,No
239,No,No
240,No,No
241,No,No
242,Yes,Buddism
243,No,No
244,No,No
245,No,No
246,No,No
247,No,No
248,Yes,Catholic
249,No,No
250,Yes,Buddism
251,No,No
252,No,No
253,No,No
254,No,No
255,No,No
256,Yes,Catholic
257,No,No
258,Yes,Buddism
259,No,No
260,No,No
261,No,No
262,No,No
263,No,No
264,No,No
265,No,No
266,No,No
267,No,No
268,No,No
269,No,No
270,No,No
271,No,No
272,No,No
273,No,No
274,No,No
275,No,No
276,No,No
277,No,No
278,No,No
279,No,No
280,No,No
281,No,No
282,No,No
283,No,No
284,No,No
285,No,No
286,No,No
287,No,No
288,No,No
289,Yes,Christian
290,No,No
291,No,No
292,No,No
293,No,No
294,No,No
295,No,No
296,No,No
297,No,No
298,No,No
299,No,No
300,No,No
301,No,No
302,No,No
303,Yes,Buddism
304,Yes,Catholic
305,Yes,Christian
306,No,No
307,No,No
308,No,No
309,No,No
310,Yes,Buddism
311,No,No
312,No,No
313,No,No
314,No,No
315,No,No
316,Yes,Christian
317,No,No
318,No,No
319,Yes,Christian
320,No,No
321,No,No
322,No,No
323,No,No
324,No,No
325,No,No
326,No,No
327,No,No
328,No,No
329,No,No
330,No,No
331,No,No
332,No,No
333,No,No
334,No,No
335,No,No
336,No,No
337,No,No
338,No,No
339,No,No
340,No,No
341,No,No
342,No,No
343,Yes,Buddism
344,No,No
345,No,No
346,No,No
347,No,No
348,Yes,Buddism
349,No,No
350,No,No
351,No,No
352,No,No
353,No,No
354,No,No
355,No,No
356,Yes,Buddism
357,No,No
358,No,No
359,No,No
360,No,No
361,No,No
362,No,No
363,No,No
364,No,No
365,No,No
366,No,No
367,No,No
368,No,No
369,No,No
370,No,No
371,No,No
372,No,No
373,No,No
374,No,No
375,No,No
376,No,No
377,No,No
378,No,No
379,No,No
380,No,No
381,No,No
382,No,No
383,No,No
384,No,No
385,No,No
386,No,No
387,No,No
388,No,No
389,No,No
390,No,No
391,No,No
392,No,No
393,No,No
394,No,No
395,No,No
396,No,No
397,No,No
398,No,No
399,No,No
400,No,No
401,No,No
402,No,No
403,No,No
404,No,No
405,No,No
406,No,No
407,No,No
408,No,No
409,No,No
410,No,No
411,No,No
412,No,No
413,No,No
414,No,No
415,No,No
416,No,No
417,No,No
418,No,No
419,No,No
420,No,No
421,No,No
422,No,No
423,No,No
424,No,No
425,No,No
426,No,No
427,No,No
428,No,No
429,No,No
430,No,No
431,No,No
432,No,No
433,No,No
434,No,No
435,No,No
436,No,No
437,No,No
438,No,No
439,No,No
440,No,No
441,No,No
442,No,No
443,No,No
444,No,No
445,No,No
446,No,No
447,No,No
448,No,No
449,No,No
450,No,No
451,No,No
452,No,No
453,No,No
454,Yes,Christian
455,No,No
456,No,No
457,No,No
458,Yes,Christian
459,No,No
460,No,No
461,No,No
462,No,No
463,No,No
464,No,No
465,No,No
466,No,No
467,No,No
468,No,No
469,No,No
470,No,No
471,No,No
472,No,No
473,No,No
474,No,No
475,No,No
476,No,No
477,No,No
478,Yes,Christian
479,No,No
480,Yes,Buddism
481,No,No
482,No,No
483,No,No
484,No,No
485,Yes,Buddism
486,No,No
487,No,No
488,Yes,Buddism
489,No,No
490,No,No
491,No,No
492,No,No
493,Yes,Buddism
494,No,No
495,No,No
496,Yes,Buddism
497,Yes,Catholic
498,Yes,Buddism
499,Yes,Buddism
500,Yes,Christian
501,No,No
502,Yes,Catholic
503,Yes,Buddism
504,Yes,Buddism
505,No,No
506,No,No
507,No,No
508,Yes,Buddism
509,No,No
510,Yes,Christian
511,Yes,Christian
512,Yes,Christian
513,No,No
514,Yes,Buddism
515,Yes,Buddism
516,No,No
517,No,No
518,No,No
519,No,No
520,No,No
521,Yes,Christian
522,No,No
523,Yes,Buddism
524,No,No
525,No,No
526,No,No
527,No,No
528,No,No
529,Yes,Buddism
530,No,No
531,No,No
532,Yes,Buddism
533,No,No
534,No,No
535,Yes,Buddism
536,Yes,Buddism
537,No,No
538,No,No
539,No,No
540,No,No
541,No,No
542,Yes,Christian
543,No,No
544,Yes,Catholic
545,Yes,Buddism
546,No,No
547,No,No
548,Yes,Buddism
549,No,No
550,No,No
551,No,No
552,Yes,Christian
553,No,No
554,Yes,Christian
555,No,No
556,No,No
557,No,No
558,No,No
559,No,No
560,No,No
561,No,No
562,Yes,Buddism
563,No,No
564,Yes,Buddism
565,No,No
566,No,No
567,No,No
568,No,No
569,No,No
570,No,No
571,No,No
572,No,No
573,No,No
574,Yes,Buddism
575,No,No
576,No,No
577,Yes,Buddism
578,Yes,Buddism
579,Yes,Buddism
580,No,No
581,No,No
582,No,No
583,No,No
584,No,No
585,Yes,Buddism
586,No,No
587,Yes,Buddism
588,No,No
589,No,No
590,No,No
591,No,No
592,No,No
593,No,No
594,Yes,Buddism
595,No,No
596,No,No
597,No,No
598,No,No
599,No,No
600,No,No
601,Yes,Catholic
602,No,No
603,No,No
604,No,No
605,Yes,Buddism
606,No,No
607,No,No
608,No,No
609,No,No
610,No,No
611,No,No
612,No,No
613,No,No
614,No,No
615,No,No
616,No,No
617,No,No
618,No,No
619,No,No
620,No,No
621,No,No
622,No,No
623,No,No
624,Yes,Buddism
625,Yes,Christian
626,Yes,Christian
627,No,No
628,No,No
629,No,No
630,No,No
631,Yes,Buddism
632,Yes,Christian
633,No,No
634,Yes,Buddism
635,No,No
636,Yes,Catholic
637,Yes,Catholic
638,No,No
639,No,No
640,Yes,Buddism
641,No,No
642,No,No
643,Yes,Buddism
644,No,No
645,No,No
646,No,No
647,Yes,Catholic
648,No,No
649,No,No
650,No,No
651,No,No
652,No,No
653,Yes,Buddism
654,No,No
655,No,No
656,Yes,Buddism
657,No,No
658,No,No
659,No,No
660,Yes,Buddism
661,Yes,Buddism
662,No,No
663,No,No
664,No,No
665,No,No
666,No,No
667,No,No
668,Yes,Christian
669,No,No
670,No,No
671,No,No
672,Yes,Buddism
673,No,No
674,No,No
675,No,No
676,No,No
677,No,No
678,No,No
679,No,No
680,No,No
681,No,No
682,No,No
683,Yes,Buddism
684,No,No
685,Yes,Christian
686,Yes,Christian
687,No,No
688,No,No
689,No,No
690,Yes,Christian
691,No,No
692,No,No
693,No,No
694,No,No
695,No,No
696,No,No
697,No,No
698,No,No
699,No,No
700,Yes,Christian
701,No,No
702,No,No
703,No,No
704,No,No
705,No,No
706,Yes,Buddism
707,No,No
708,No,No
709,No,No
710,No,No
711,No,No
712,No,No
713,No,No
714,No,No
715,Yes,Buddism
716,Yes,Christian
