직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
1,1982-02-10,2012-12-31,30,370,11282
2,1983-03-01,2012-09-07,29,354,10783
3,1986-12-26,2008-12-31,22,264,8041
4,1994-01-01,2015-07-15,21,258,7865
5,1994-07-20,2012-02-25,17,211,6429
6,1997-02-21,2019-03-31,22,265,8073
7,1997-05-19,//,22,266,8108
8,1997-07-14,//,22,264,8052
9,1998-03-23,2012-06-19,14,170,5202
10,1999-03-31,2015-07-31,16,196,5966
11,1999-07-12,2015-10-30,16,195,5954
12,1999-09-06,2016-04-30,16,199,6081
13,1999-09-27,//,20,238,7247
14,1999-10-18,2010-11-20,11,133,4051
15,1999-11-01,2014-04-30,14,173,5294
16,1999-11-01,2010-08-20,10,129,3945
17,1999-11-15,2015-12-18,16,193,5877
18,2000-04-06,2010-07-20,10,123,3757
19,2000-10-02,2015-09-30,14,179,5476
20,2000-10-02,2012-05-31,11,139,4259
21,2000-10-04,2016-12-31,16,194,5932
22,2000-10-04,//,19,225,6874
23,2000-10-04,2010-07-20,9,117,3576
24,2000-10-09,//,19,225,6869
25,2001-04-03,//,18,219,6693
26,2001-05-29,2015-11-30,14,174,5298
27,2001-07-23,2015-10-14,14,170,5196
28,2001-11-21,//,18,212,6461
29,2002-03-25,2012-09-14,10,125,3826
30,2002-06-03,//,17,205,6267
31,2003-12-05,//,16,187,5717
32,2003-12-22,//,16,187,5700
33,2004-03-02,//,15,184,5629
34,2004-04-21,//,15,183,5579
35,2004-05-18,2016-04-30,11,143,4365
36,2005-11-01,2013-04-30,7,89,2737
37,2005-12-16,//,14,163,4975
38,2005-12-26,2014-07-15,8,102,3123
39,2005-12-26,2012-12-17,6,83,2548
40,2006-01-09,2015-12-31,9,119,3643
41,2006-01-09,2012-06-30,6,77,2364
42,2006-01-09,2011-03-20,5,62,1896
43,2006-01-09,2010-11-12,4,58,1768
44,2006-01-09,2009-05-31,3,40,1238
45,2006-01-09,2011-03-20,5,62,1896
