,id,retirement,courier_count,lang_count,age,area,child_count,club_count,club,gender,honey_YN,religion_YN,religion,begin_date,retired_date,working_year,working_month,working_day,position_number,department,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
1,2,1,0.0,0.0,58,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,1983-03-01,2012-09-07,29,354,10783,2.0,Production_support,0.0,0,0.0,0.34636416666666664,1219129.0,1,3,2
2,3,1,0.0,0.0,46,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,1986-12-26,2008-12-31,22,264,8041,2.0,Production_support,0.0,0,0.0,0.3498041666666667,1019441.0,1,3,2
3,4,1,0.0,0.0,49,Kyongnam,2.0,2.0,1.0,1,1.0,Yes,Christian,1994-01-01,2015-07-15,21,258,7865,1.0,Purchasing,0.0,0,0.0,0.3936613888888889,3652762.0,1,3,2
4,5,1,0.0,0.0,55,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,1994-07-20,2012-02-25,17,211,6429,3.0,Production_support,0.0,0,0.0,0.4387261111111111,1488562.0,1,3,2
5,6,1,0.0,0.0,47,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,1997-02-21,2019-03-31,22,265,8073,1.0,Production_Management,1.0,0,1.0,0.31144444444444447,1151982.0,1,3,2
6,7,0,1.0,0.0,50,Kyongnam,1.0,1.0,1.0,1,1.0,No,No,1997-05-19,//,22,266,8108,1.0,Business_Support,0.0,0,0.0,0.39135194444444443,5051284.0,1,3,2
7,8,0,0.0,0.0,40,Kyongnam,0.0,2.0,1.0,1,0.0,No,No,1997-07-14,//,22,264,8052,3.0,Production_support,0.0,0,0.0,0.2963661111111111,885953.0,1,3,2
9,10,1,1.0,0.0,36,Kyongnam,0.0,1.0,1.0,0,0.0,Yes,Buddism,1999-03-31,2015-07-31,16,196,5966,4.0,Production_Management,1.0,0,0.0,0.3618922222222222,3194765.0,1,3,2
10,11,1,4.0,0.0,46,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,1999-07-12,2015-10-30,16,195,5954,1.0,Business_Support,0.0,0,0.0,0.242025,6481853.0,1,3,2
12,13,0,1.0,0.0,46,Kyongnam,2.0,2.0,1.0,1,1.0,Yes,Christian,1999-09-27,//,20,238,7247,1.0,Business_Support,0.0,0,0.0,0.23218333333333332,1266522.0,1,3,2
13,14,1,0.0,0.0,33,Kyongnam,0.0,0.0,0.0,1,1.0,No,No,1999-10-18,2010-11-20,11,133,4051,4.0,Warranty,0.0,0,0.0,0.393295,1380165.0,1,3,2
15,16,1,0.0,0.0,33,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,1999-11-01,2010-08-20,10,129,3945,4.0,Purchasing,0.0,0,0.0,0.3361075,1205630.0,1,3,2
16,17,1,2.0,0.0,41,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,1999-11-15,2015-12-18,16,193,5877,2.0,Quality_Management,1.0,0,0.0,0.4362211111111111,1151982.0,1,3,2
17,18,1,0.0,0.0,44,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2000-04-06,2010-07-20,10,123,3757,3.0,Shipping,0.0,0,0.0,0.24412083333333334,897507.0,1,3,2
18,19,1,1.0,0.0,53,Kyongnam,3.0,0.0,0.0,1,1.0,No,No,2000-10-02,2015-09-30,14,179,5476,2.0,Purchasing,0.0,0,0.0,0.32193805555555555,1431249.0,1,3,2
19,20,1,0.0,0.0,42,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2000-10-02,2012-05-31,11,139,4259,1.0,Production_Management,1.0,0,0.0,0.19595805555555557,632297.0,1,3,2
20,21,1,2.0,0.0,49,Kyongnam,2.0,2.0,1.0,1,1.0,Yes,Buddism,2000-10-04,2016-12-31,16,194,5932,1.0,Service,0.0,1,0.0,0.35687083333333336,15370424.0,1,3,2
21,22,0,4.0,0.0,51,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2000-10-04,//,19,225,6874,2.0,Production_support,0.0,0,0.0,0.3347175,3241869.0,1,3,2
22,23,1,0.0,0.0,50,Kyongnam,2.0,0.0,0.0,1,1.0,No,No,2000-10-04,2010-07-20,9,117,3576,2.0,Shipping,0.0,0,0.0,0.4874219444444444,1766126.0,1,3,2
23,24,0,2.0,0.0,49,Kyongnam,1.0,1.0,1.0,1,1.0,No,No,2000-10-09,//,19,225,6869,3.0,Production_support,0.0,0,0.0,0.3299961111111111,15709491.0,1,3,2
