직원id,학교명,학과,전공명,입학일자,졸업일자,학력,졸업여부,최종학력여부,부전공명,지역
1,문산고등학교,,,1973/03/02,1976/02/24,고졸,졸업,,,
1,문산중학교,,,1967/03/02,1973/02/24,중졸,졸업,,,
1,울산대학교경영대학원,,,,1995/02/24,대학원졸,졸업,001,,
2,,,,,,,,,,
3,,,,,,,,,,
4,동아대학교,회계학과,회계학,1985/03/04,1992/02/29,대졸,졸업,001,,
4,부산남중학교,,,1978/03/02,1981/02/24,중졸,졸업,,,
4,혜광고등학교,,,1981/03/02,1984/02/11,고졸,졸업,,,
5,,,,,,,,,,
6,거창대성고등학교,,,1988/03/02,1991/02/14,고졸,졸업,,,
6,울산전문대학,공업경영과,공업경영,1992/03/02,1997/02/04,전문대졸,졸업,001,,
7,경남대학교,회계학과,회계학,1988/03/02,1995/02/20,대졸,졸업,001,,
8,덕신초등학교,,,1986/03/02,1992/02/14,초등졸,졸업,,,
8,온산중학교,,,1992/03/02,1995/02/14,중졸,졸업,,,
8,울산공업고등학교,,,1995/03/05,1998/02/14,고졸,졸업,001,,
9,,,,,,,,,,
10,경주여자상업고등학교,,,1994/03/02,1997/02/13,고졸,졸업,,,
10,부산여자대학,,비서행정,1997/03/03,1999/02/27,전문대졸,졸업,,,
11,경상대학교,,산업공학전공,1988/03/02,1995/02/25,대졸,졸업,001,,
11,현대고등학교,,,1984/03/02,1986/02/24,고졸,졸업,,,
12,성동고등학교,,자연계,1988/03/02,1991/02/24,고졸,졸업,,,
12,인하공업전문대학,,기계과,1992/03/02,1997/02/24,전문대졸,졸업,001,,
12,한양중학교,,,1985/03/02,1988/02/24,중졸,졸업,,,
13,강남초등학교,,,1980/03/02,1986/02/25,초등졸,졸업,,,
13,대현중학교,,,1986/03/02,1989/02/23,중졸,졸업,,,
13,울산대학교,,산업공학,1993/03/03,2000/02/24,대졸,졸업,001,,
13,울산제일고등학교,,,1989/03/02,1992/02/24,고졸,졸업,,,
14,,,,,,,,,,
15,대성공업고등학교,,,1976/03/02,1979/02/24,고졸,졸업,001,,
16,,,,,,,,,,
17,울산과학대학,원자력과,원자력과,1993/03/03,1995/01/25,전문대졸,졸업,001,,
17,울산제일고등학교,,,1989/03/02,1992/02/12,고졸,졸업,,,
18,,,,,,,,,,
19,현대공업고등학교,,조선과,1978/03/02,1982/02/24,고졸,,001,,
20,,,,,,,,,,
21,동국대학교,,행정학과,1986/03/04,1993/02/24,대졸,졸업,001,,
21,문화고등학교,,,1982/03/02,1985/02/15,고졸,졸업,,,
22,동의공업고등학교,,기계과,1984/03/02,1987/02/24,고졸,졸업,001,,
23,,,,,,,,,,
24,광성고등학교,,,1986/03/02,1989/02/14,고졸,졸업,001,,
25,동의공업전문대학,,기계설계학과,1989/03/02,1994/02/24,전문대졸,졸업,,,
25,부경대학교,,기계설계학과,1994/03/02,1996/02/24,대졸,졸업,001,,
25,해운대고등학교,,,1985/03/02,1988/02/24,고졸,졸업,,,
26,울산공업고등학교,,전기과,1985/03/02,1988/02/24,고졸,졸업,,,
26,울산과학대학,,전기과,1996/03/02,1998/02/24,전문대졸,졸업,001,,
27,북평고등학교,,,1976/03/05,,,자퇴,001,,
28,울산남고등학교,,,1992/03/02,1995/02/13,고졸,졸업,,,
